GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
OXGR1,1.0,0.0,0.0,0.0,0.0
HTR1A,1.0,0.0,0.0,0.0,0.0
HTR1D,1.0,0.0,0.0,0.0,0.0
HTR4,0.0,0.0,0.3,1.0,0.0
ADORA2A,0.2,0.0,0.8,0.9,0.0
ADRA1A,1.0,0.0,0.0,0.0,0.0
ADRA1D,1.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,0.0,1.0,0.0
CHRM2,0.5,0.5,0.5,0.0,0.0
HRH1,1.0,0.0,0.0,0.0,0.0
HRH2,0.0,0.0,0.0,1.0,0.0
MTNR1A,0.9,0.1,0.0,0.0,0.1
NPY1R,0.5,0.5,0.0,0.0,0.5
NPY4R,1.0,0.0,0.0,0.0,0.0
TACR1,0.5,0.6,0.0,0.0,0.5
TACR2,0.1,0.9,0.0,0.0,0.9
NTSR1,1.0,0.7,0.0,0.0,0.0
HCRTR1,1.0,0.0,0.0,0.0,0.0
HCRTR2,1.0,0.0,0.0,0.0,0.0
