GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR2A,0.2,0.8,0.0,0.0,0.0
ADORA1,1.0,0.0,0.0,0.0,0.0
ADORA2B,0.2,0.0,0.8,0.8,0.0
ADRA1D,0.2,0.6,0.2,0.2,0.0
ADRB3,0.0,0.4,0.6,0.6,0.0
DRD4,1.0,0.0,0.0,0.0,0.0
OPRK1,1.0,0.0,0.0,0.0,0.0
EDNRA,0.8,0.2,0.0,0.0,0.0
BRS3,0.3,0.7,0.0,0.0,0.0
AVPR2,0.2,0.9,0.0,0.0,0.0
MC1R,0.1,0.0,0.9,0.9,0.0
NPFFR1,0.0,1.0,0.0,0.0,0.0
NPY1R,0.5,0.5,0.0,0.0,0.5
NPY4R,1.0,0.3,0.0,0.0,0.0
PTGER1,0.0,0.1,0.0,0.9,0.1
PTGER3,0.2,0.1,0.0,0.7,0.1
PTGDR,0.4,0.4,0.4,0.6,0.4
TBXA2R,0.2,0.0,0.0,0.8,0.0
SSTR1,1.0,0.0,0.0,0.0,0.0
