GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR5A,1.0,0.0,0.0,0.0,0.0
ADRA1D,0.0,1.0,0.4,0.0,0.0
ADRA2B,1.0,0.0,0.0,0.0,0.0
ADRA2C,1.0,0.0,0.0,0.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
DRD4,0.1,0.0,0.9,0.9,0.0
CHRM4,0.7,0.3,0.3,0.0,0.0
HRH2,0.0,0.6,0.4,0.4,0.0
OPRD1,1.0,0.0,0.0,0.0,0.0
EDNRB,0.8,1.0,0.0,0.0,0.0
AVPR1A,0.0,1.0,0.0,0.0,0.0
MC5R,0.8,0.0,0.1,1.0,0.0
PTGER2,0.0,0.2,0.2,0.8,0.1
PTGER3,0.0,0.8,0.3,0.2,0.5
FFAR1,1.0,0.0,0.0,0.0,0.0
HCRTR1,1.0,0.0,0.0,0.0,0.0
CCKAR,1.0,0.4,0.0,0.0,0.0
SSTR1,1.0,0.0,0.0,0.0,0.0
