GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
GPR52,1.0,1.0,1.0,0.0,0.0
HTR1A,1.0,0.0,1.0,0.0,0.0
HTR1B,1.0,1.0,1.0,0.0,1.0
HTR1D,1.0,1.0,1.0,0.0,1.0
HTR1E,1.0,1.0,1.0,0.0,1.0
HTR1F,1.0,1.0,1.0,0.0,1.0
HTR2A,1.0,1.0,1.0,0.0,0.0
HTR2B,1.0,0.0,1.0,0.0,0.0
HTR2C,1.0,0.0,0.0,0.0,0.0
HTR4,1.0,1.0,1.0,0.0,0.0
HTR5A,1.0,1.0,1.0,0.0,0.0
HTR6,0.0,1.0,1.0,0.0,0.0
HTR7,0.0,0.0,1.0,0.0,0.0
ADORA1,1.0,1.0,1.0,0.0,0.0
ADORA2A,0.0,0.0,1.0,1.0,0.0
ADORA2B,1.0,1.0,1.0,1.0,1.0
ADORA3,1.0,1.0,1.0,0.0,0.0
ADRA1A,1.0,0.0,0.0,0.0,0.0
ADRA1B,1.0,0.0,0.0,0.0,0.0
ADRA1D,1.0,0.0,0.0,0.0,0.0
ADRA2A,1.0,0.0,0.0,0.0,0.0
ADRA2B,1.0,0.0,0.0,0.0,0.0
ADRA2C,1.0,0.0,0.0,0.0,0.0
ADRB1,1.0,0.0,0.0,0.0,0.0
ADRB2,1.0,1.0,1.0,0.0,0.0
ADRB3,1.0,0.0,0.0,0.0,0.0
DRD1,1.0,0.0,1.0,1.0,0.0
DRD2,1.0,1.0,1.0,0.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
DRD4,1.0,0.0,0.0,0.0,0.0
DRD5,1.0,0.0,0.0,0.0,0.0
HRH2,1.0,1.0,1.0,0.0,0.0
MTNR1A,1.0,0.0,1.0,0.0,0.0
MTNR1B,1.0,0.0,1.0,0.0,0.0
CNR1,1.0,0.0,1.0,0.0,1.0
PTGER1,1.0,1.0,1.0,1.0,1.0
PTGER2,1.0,1.0,1.0,1.0,1.0
PTGER3,0.0,0.0,1.0,1.0,0.0
PTGER4,0.0,0.0,1.0,1.0,0.0
PTGDR,1.0,1.0,1.0,0.0,1.0
TBXA2R,1.0,0.0,0.0,0.0,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
NTSR1,1.0,1.0,0.0,0.0,0.0
